model,optimizer,n,bins,bin_type,reps,usable,convergence_rate,classical_conv_rate,symbolic_conv_rate,median_time_classical,median_time_symbolic,speedup,mse_class,mse_symbolic,rmse_class,rmse_symbolic,relative_rmse,rmse_mean_ratio,rmse_sd_ratio,boundary_hit_rate
shifted_lognormal,L-BFGS-B,365,100,QU,500,500,1,1,1,0.002933333333333306,0.007299999999999803,0.4018264840182719,0.18372858849006207,0.1958577266247343,0.42863572936709565,0.4425581618552914,1.0324808025424128,1.0083085962983456,1.0479789519791483,0
shifted_lognormal,L-BFGS-B,1095,10,EW,500,500,1,1,1,0.007866666666666333,0.004033333333333644,1.950413223140263,0.05547128831178157,0.05812710885300503,0.23552343474011578,0.24109564254254998,1.0236588253248886,1.0242912126312869,1.0232656744115978,0
shifted_lognormal,L-BFGS-B,1095,10,QU,500,500,1,1,1,0.007866666666666333,0.0038333333333336367,2.052173913043229,0.05547128831178157,0.08314482127125533,0.23552343474011578,0.288348437261684,1.2242876704811012,1.088666872519211,1.3014600747410259,0
shifted_lognormal,L-BFGS-B,1095,50,EW,500,500,1,1,1,0.007866666666666333,0.005333333333334167,1.474999999999707,0.05547128831178157,0.055003697181337984,0.23552343474011578,0.23452867027580654,0.9957763673691032,1.00011634805044,0.9930700273553597,0
shifted_lognormal,L-BFGS-B,1095,50,QU,500,500,1,1,1,0.007866666666666333,0.005333333333334167,1.474999999999707,0.05547128831178157,0.06067022949392336,0.23552343474011578,0.24631327510697298,1.0458121731230825,1.0140744584957841,1.0650570990426274,0
shifted_lognormal,L-BFGS-B,1095,100,EW,500,500,1,1,1,0.007866666666666333,0.005866666666666257,1.3409090909091275,0.05547128831178157,0.05469261354712323,0.23552343474011578,0.23386451964144375,0.9929564754331027,0.999747158413737,0.9887133733639162,0
shifted_lognormal,L-BFGS-B,1095,100,QU,500,500,1,1,1,0.007866666666666333,0.007233333333332818,1.0875576036866672,0.05547128831178157,0.05736239335018824,0.23552343474011578,0.23950447459324897,1.016902945804633,1.0029803588560389,1.0254589724029994,0
shifted_lognormal,L-BFGS-B,3650,10,EW,500,500,1,1,1,0.02294999999999921,0.0037000000000015614,6.202702702699872,0.01743898687481707,0.019072454625840386,0.13205675626342284,0.13810305798873676,1.0457856295762173,1.036079490674076,1.0527341358849742,0
shifted_lognormal,L-BFGS-B,3650,10,QU,500,500,1,1,1,0.02294999999999921,0.0036666666666671215,6.259090909089918,0.01743898687481707,0.025509321050617824,0.13205675626342284,0.15971637690173737,1.2094525219379153,1.0729213003731664,1.2990926078307254,0
shifted_lognormal,L-BFGS-B,3650,50,EW,500,500,1,1,1,0.02294999999999921,0.004766666666665743,4.814685314686082,0.01743898687481707,0.017639737158464106,0.13205675626342284,0.13281467222586557,1.005739319849193,1.0011865108148603,1.0090119336051673,0
shifted_lognormal,L-BFGS-B,3650,50,QU,500,500,1,1,1,0.02294999999999921,0.005333333333336062,4.30312499999765,0.01743898687481707,0.01882084255440331,0.13205675626342284,0.13718907592954807,1.0388644989574591,1.0085172286554187,1.060224098958511,0
shifted_lognormal,L-BFGS-B,3650,100,EW,500,500,1,1,1,0.02294999999999921,0.005766666666666727,3.979768786126989,0.01743898687481707,0.017340201913923645,0.13205675626342284,0.131682200444569,0.9971636754570382,1.0001856508044196,0.9949772719697075,0
shifted_lognormal,L-BFGS-B,3650,100,QU,500,500,1,1,1,0.02294999999999921,0.007200000000000273,3.1874999999997695,0.01743898687481707,0.018331342300357628,0.13205675626342284,0.13539328750110777,1.025265888183936,1.0088106562515127,1.0369780400565651,0
