study,replicate,model,optimizer,n,bins,bin_type,truth_mean,truth_sd,class_mean,class_sd,sym_mean,sym_sd,time_classical,time_symbolic,class_loglik,sym_loglik,class_conv,sym_conv,paired_conv,class_boundary_hit,sym_boundary_hit
optimizer_robustness,22,normal,Nelder-Mead,365,50,QU,25,5,24.96411793145301,4.548988387347669,24.99588808362207,4.571396726711829,9.333333333332897e-4,0.0015333333333333126,-1070.8272147070847,-1592.3436187636166,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,22,normal,CG,365,50,QU,25,5,24.962754562021697,4.548669174259491,24.995561761637823,4.571908465562505,0.013133333333333278,0.014633333333333335,-1070.827196511887,-1592.3436128116198,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,23,normal,Nelder-Mead,365,50,EW,25,5,24.90755102911195,5.098513178896688,24.91210491720398,5.103828517394479,0.0010333333333332935,0.001399999999999816,-1112.561474581208,-1321.9867396650825,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,23,normal,CG,365,50,EW,25,5,24.90822779296183,5.099666418261428,24.908227792961707,5.106666172282425,0.007966666666666573,0.00519999999999996,-1112.5614527082369,-1321.9869206572093,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,23,normal,Nelder-Mead,365,50,QU,25,5,24.90755102911195,5.098513178896688,24.94363970580426,5.119331559064776,0.0010333333333332935,0.001666666666666572,-1112.561474581208,-1599.332851081105,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,23,normal,CG,365,50,QU,25,5,24.90822779296183,5.099666418261428,24.944097918702536,5.119734834439006,0.007966666666666573,0.024133333333333222,-1112.5614527082369,-1599.332847062331,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,24,normal,Nelder-Mead,365,50,EW,25,5,24.91148434620578,4.892111878097553,24.910552646109526,4.88836490365949,0.0010333333333332935,0.0013333333333333049,-1097.4779870722466,-1337.480475339867,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,24,normal,CG,365,50,EW,25,5,24.912161216927945,4.893219658442543,24.912161216927945,4.899936053098867,0.01380000000000005,0.0038333333333333995,-1097.4779648794456,-1337.4826680694127,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,24,normal,Nelder-Mead,365,50,QU,25,5,24.91148434620578,4.892111878097553,24.92179658948018,4.880315950373763,0.0010333333333332935,0.0017000000000000645,-1097.4779870722466,-1599.8653074501733,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,24,normal,CG,365,50,QU,25,5,24.912161216927945,4.893219658442543,24.921873500175284,4.880682028587857,0.01380000000000005,0.017799999999999965,-1097.4779648794456,-1599.8653052008226,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,25,normal,Nelder-Mead,365,50,EW,25,5,24.95489072352923,4.924885094366752,24.954188000857556,4.907028443150308,9.666666666667822e-4,0.0014000000000000531,-1099.91605632144,-1278.9165674187777,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,25,normal,CG,365,50,EW,25,5,24.955568773647432,4.926014019357441,24.955568773647432,4.932775420401448,0.011599999999999966,0.0015000000000000568,-1099.9160336999748,-1278.9263183101612,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,25,normal,Nelder-Mead,365,50,QU,25,5,24.95489072352923,4.924885094366752,25.005840147657786,4.908297715922044,9.666666666667822e-4,0.0016333333333333163,-1099.91605632144,-1593.0137862754136,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,25,normal,CG,365,50,QU,25,5,24.955568773647432,4.926014019357441,25.00538944947792,4.908226079655959,0.011599999999999966,0.03396666666666661,-1099.9160336999748,-1593.01378450163,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,26,normal,Nelder-Mead,365,50,EW,25,5,24.86267946033005,4.889476334219019,24.87365229904042,4.896539426645657,0.0010333333333332935,0.0013333333333333049,-1097.280153133616,-1350.6940222842297,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,26,normal,CG,365,50,EW,25,5,24.86335500497313,4.890568212973141,24.86335500497227,4.897280961524139,0.0060333333333332465,0.0018333333333333238,-1097.2801314645412,-1350.6948945841082,TRUE,TRUE,TRUE,FALSE,FALSE
